id,name,artist,album,popularity,date_pulled
6klLvorLoo1sxvZcjJIY8I,Make No Sense,YoungBoy Never Broke Again,AI YoungBoy 2,0,2026-05-29
7Hc6qcJG4NtyZgbNvQyd8U,drop dead,Olivia Rodrigo,drop dead (taken that eurostar to france video),0,2026-05-29
5A7CwBNDUhvLWuSU5oJEh3,Moonlight,Ariana Grande,Dangerous Woman,0,2026-05-29
6EtKlIQmGPB9SX8UjDJG5s,"Formula (From ""Euphoria: Season 1"" Soundtrack)",Labrinth,Euphoria (Original Score from the HBO Series),0,2026-05-29
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,Starboy,0,2026-05-29
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),Calvin Harris,Motion,0,2026-05-29
4EoJ151oQ5jY48z4RhSE96,the cure,Olivia Rodrigo,the cure,0,2026-05-29
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,Flockaveli,0,2026-05-29
2tqocx3oluyxh1hTb6hpVi,Demon Slayer : The Entrance To The infinity castle EPIC COVER,Alexis DL,Demon Slayer : The Entrance To The infinity castle EPIC COVER,0,2026-05-29
6QFCMUUq1T2Vf5sFUXcuQ7,Beauty And A Beat,Justin Bieber,Believe,0,2026-05-29
1D5L58KLBbceOynTP4DQnY,It's Me,ILLIT,MAMIHLAPINATAPAI,0,2026-05-29
4sTjUYjIC02RkNa1A8rWjE,LAST GOODBYE,sunkis,LAST GOODBYE,0,2026-05-29
7yNf9YjeO5JXUE3JEBgnYc,Babydoll,Dominic Fike,"Don't Forget About Me, Demos",0,2026-05-29
1DwscornXpj8fmOmYVlqZt,Stateside + Zara Larsson,PinkPantheress,Fancy Some More?,0,2026-05-29
09xhawlPUifhftf8zuie7w,Fever,Buckshot,Fever,0,2026-05-29
23z04slx9PgvUYCOKkd27X,I DO,i-dle,I DO,0,2026-05-29
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,This Wasn't Meant For You Anyway,0,2026-05-29
0vf2eBw2inhl8y61cYQMv2,Devil Town,Cavetown,Cavetown,0,2026-05-29
5SlU0Yhi51jobhEiGE4xDv,2 soon,keshi,2 soon,0,2026-05-29
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,Pablo Honey,0,2026-05-29
3p4hRhMcb6ch8OLtATMaLw,Cry,Cigarettes After Sex,Cry,0,2026-05-29
4vEE3lzBLXBN3RxyGtZNir,Neva Play (feat. RM of BTS),Megan Thee Stallion,MEGAN: ACT II,0,2026-05-29
13fVuFWEQOGlYY6EaxfQyj,Clarity - BUNT. Remix,Zedd,Clarity (BUNT. Remix),0,2026-05-29
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,?,0,2026-05-29
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,ROSÉ,rosie,0,2026-05-29
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,0,2026-05-29
1TJ0PvWV2i7IamBAhuihds,time alone w u,Artemas,getting up to no good,0,2026-05-28
1K5OXYZMz90JWaPrIAb3Jx,I'm tired of this,Rebzyyx,I'm tired of this,0,2026-05-29
3xsx1BVDQZoDLZVTT4SKQf,Bor Arist Gump,Rokit Bay,Hariutslaga,0,2026-05-29
4Mteyd60tfstDuzfkGqXx1,Too Late,SZA,SOS,0,2026-05-29
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,24K Magic,0,2026-05-29
3cjvqsvvU80g7WJPMVh8iq,Genesis,Grimes,Visions,0,2026-05-29
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,UTOPIA,0,2026-05-29
0AiV05d4CIuici3oOEQTjk,I DON'T CARE,2NE1,2NE1,0,2026-05-29
0t1fdMrn7JOg9DDsT95bxt,we never dated,sombr,I Barely Know Her,0,2026-05-29
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,SOS,0,2026-05-29
4sOX1nhpKwFWPvoMMExi3q,Primadonna,MARINA,Electra Heart (Deluxe),0,2026-05-29
6saYisCUAZXc505blie9kZ,Otaku Hot Girl,Megan Thee Stallion,MEGAN,0,2026-05-29
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,0,2026-05-29
1Fhb9iJPufNMZSwupsXiRe,beside you,keshi,beside you,0,2026-05-29
1G1R0XgChe18Zr1o6tlmN6,Watercolor Eyes - From “Euphoria” An HBO Original Series,Lana Del Rey,Watercolor Eyes (From “Euphoria” An HBO Original Series),0,2026-05-29
20dAJsyno9ZoBLJtqgQnUI,Hooligan,BTS,ARIRANG,0,2026-05-29
21aOLk12MksET8AsbU0SI6,LO$ER=LO♡ER,TOMORROW X TOGETHER,The Chaos Chapter: FIGHT OR ESCAPE,0,2026-05-29
2DgdHcjWmO3qd50RzuBLgZ,House of Memories,Panic! At The Disco,Death of a Bachelor,0,2026-05-29
2F6Cjiv4jXoW6WinuSsNdc,Euphoria,keshi,Requiem,0,2026-05-29
2ePtv8MlBO9nuuXABqAfEX,SugarCrash!,ElyOtto,SugarCrash!,0,2026-05-29
2j1fFjWHCI9KJSwcuYAOyF,Spring Day,BTS,You Never Walk Alone,0,2026-05-29
2rKkfc4VZ74FQDc1FF1Zo6,Body to Body,BTS,ARIRANG,0,2026-05-29
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,Steve Lacy,Gemini Rights,0,2026-05-29
4pygz13A6EcLL6ti7kqGaf,Super Tuna,Jin,Super Tuna,0,2026-05-29
4uvjOKsp7mSjrDhWdkLPBY,I Think We're Alone Now,Tiffany,Tiffany,0,2026-05-29
